Latitude,Longitude,NOC,Country Name,Code,1996 - Bronze,1996 - Silver,1996 - Gold,1996 - Medals,1996 - Pop,1996 - GDP,1996 - Percentage invested,2000 - Bronze,2000 - Silver,2000 - Gold,2000 - Medals,2000 - Pop,2000 - GDP,2000 - Percentage invested,2004 - Bronze,2004 - Silver,2004 - Gold,2004 - Medals,2004 - Pop,2004 - GDP,2004 - Percentage invested,2008 - Bronze,2008 - Silver,2008 - Gold,2008 - Medals,2008 - Pop,2008 - GDP,2008 - Percentage invested,2012 - Bronze,2012 - Silver,2012 - Gold,2012 - Medals,2012 - Pop,2012 - GDP,2012 - Percentage invested,2016 - Bronze,2016 - Silver,2016 - Gold,2016 - Medals,2016 - Pop,2016 - GDP,2016 - Percentage invested
33.0,66.0,AFG,Afghanistan,AFG,0,0,0,0,1.8415307E7,,,0,0,0,0,2.059536E7,,,0,0,0,0,2.4018682E7,5224896719,,1,0,0,1,2.7032197E7,10109296958,,1,0,0,1,2.9824536E7,19907329906,,0,0,0,0,,18116572399,0.0262671769469497
28.0,1.0,ALG,Algérie,,1,0,2,3,2.9845208E7,,,2,0,0,2,3.1719449E7,,,0,0,0,0,3.3461345E7,,,0,0,0,0,3.5591377E7,,,0,0,1,1,3.8481705E7,,,0,1,0,1,,,
-34.0,-64.0,ARG,Argentine,,2,16,1,19,3.526407E7,272149750000,,2,15,0,17,3.6903067E7,284203750000,,21,1,20,42,3.8308779E7,164657930453,,29,0,17,46,3.9676083E7,361558037110,,4,12,2,18,4.1086927E7,545982375701,,1,2,15,18,,557532320663,
40.383333,44.95,ARM,Arménie,ARM,0,1,1,2,3173425.0,1596968946,,1,0,0,1,3076098.0,1911563669,,0,0,0,0,3025652.0,3576615240,,5,0,0,5,2977488.0,11662040714,,1,1,0,2,2969081.0,10619320683,,0,3,1,4,,10546136236,0.0352721530734306
-25.0,133.0,AUS,Australie,AUS,62,16,27,105,,401341880621,,51,56,43,150,,416167815093,,23,63,34,120,,614659980083,0.037859511573155,52,33,25,110,,1056112427190,0.0342191010098966,50,27,11,88,,1547649835733,0.03817350597649001,14,26,13,53,2.3401892E7,1207580901579,0.0414474826836068
48.0,14.0,AUT,Autriche,AUT,1,0,0,1,7959017.0,237250948791,0.0357355725404951,0,1,3,4,8011566.0,197289625480,0.030729884497842797,1,3,3,7,8171966.0,301457562039,0.0286785589170628,2,1,0,3,8321496.0,432051935643,0.031005041838305103,0,0,0,0,8429991.0,409401816051,0.027549080802916997,2,0,0,2,,395837353031,0.027687859332005998
40.3,47.7,AZE,Azerbaïdjan,AZE,0,1,0,1,7763000.0,3176507376,,0,0,2,2,8048600.0,5272615723,,3,0,1,4,8306500.0,8680405741,,3,2,1,6,8763400.0,48851293785,,5,2,2,9,9295784.0,69679944504,,7,7,1,15,,37866996883,0.0740585053917902
25.0,-77.4,BAH,Bahamas,BHS,0,5,0,5,283678.0,,,3,0,5,8,297759.0,,0.0,2,0,0,2,322400.0,,0.0,1,5,1,7,348340.0,,,0,0,3,3,371960.0,,0.0346765038990086,4,0,1,5,,,0.0779849656061811
-3.666667,29.816667,BDI,Burundi,,0,0,0,0,6294482.0,869033856,,0,0,0,0,6674286.0,870486066,,0,0,0,0,7510771.0,915257323,,0,0,0,0,8053574.0,1611835857,,0,0,0,0,9849569.0,2333341334,,0,1,0,1,,2644487777,
50.641111111,4.668055555,BEL,Belgique,BEL,2,2,2,6,1.0142776E7,279201433225,,4,2,1,7,1.025125E7,236792460312,,1,0,1,2,1.0396421E7,369214712443,0.035044808301327404,0,4,0,4,1.0709973E7,517328087920,0.0376668126069676,1,1,0,2,1.1035948E7,496152879925,0.0462044409917783,2,13,0,15,1.126791E7,476062757357,0.0385040166478719
