ID_Team;Population;Richesse;Investissement
AFG - 1996;1.8415307E7;;
ALG - 1996;2.9845208E7;;
ARG - 1996;3.526407E7;272149750000;
ARM - 1996;3173425.0;1596968946;
AUS - 1996;;401341880621;
AUT - 1996;7959017.0;237250948791;0.0357355725404951
AZE - 1996;7763000.0;3176507376;
BAH - 1996;283678.0;;
BDI - 1996;6294482.0;869033856;
BEL - 1996;1.0142776E7;279201433225;
BLR - 1996;;14756846154;
BRA - 1996;1.64392423E8;850426432992;
BRN - 1996;579697.0;5115454090;
BUL - 1996;8362826.0;;0.0361202465869796
CAN - 1996;2.96719E7;630607994133;
CHI - 1996;1.4662323E7;;
CHN - 1996;;863749314719;
CIV - 1996;1.4632391E7;18071152821;
CMR - 1996;1.4316949E7;11093538846;
COL - 1996;3.7236124E7;97153389011;
CRC - 1996;3566605.0;;
CRO - 1996;;;
CUB - 1996;1.0980758E7;25017368700;
CYP - 1996;873246.0;10011918444;0.017544958957328195
CZE - 1996;;67387788633;0.024075374947724597
DEN - 1996;;;0.0091909737285207
DOM - 1996;8118570.0;18241622548;
ECU - 1996;1.1557151E7;25226393197;
EGY - 1996;5.9276672E7;67629716981;
ERI - 1996;3473399.0;693535954;
ESP - 1996;3.9478186E7;642588992513;0.0149873231486906
EST - 1996;;4786018988;0.03233722014038161
ETH - 1996;5.8815116E7;8547939731;
FIJ - 1996;784647.0;;
FIN - 1996;5124573.0;132129174217;
FRA - 1996;5.975202E7;1605675086550;0.0321257624178888
GAB - 1996;1108698.0;5694040003;
GBR - 1996;5.816695E7;1419645865835;0.0145952079433047
GER - 1996;8.2012E7;;
GRE - 1996;1.06088E7;;0.0
GRN - 1996;100796.0;;
GUA - 1996;1.0214623E7;;
HUN - 1996;1.0311238E7;46658755152;0.0168175868882915
INA - 1996;1.97097887E8;;
IND - 1996;9.73147577E8;392896866205;
IRI - 1996;6.1440887E7;;
IRL - 1996;3637510.0;75790786290;0.019623259374323004
ISL - 1996;268916.0;7426082271;
ISR - 1996;;114505860827;
ITA - 1996;5.6860281E7;1312426527795;
JAM - 1996;;7393891921;
JOR - 1996;;6927503526;
JPN - 1996;;4923391533852;
KAZ - 1996;1.5577894E7;21035357937;
KEN - 1996;2.8186224E7;12045865396;
KGZ - 1996;;1827570586;
KOR - 1996;4.5524681E7;610167053824;
KOS - 1996;;;
KSA - 1996;1.884835E7;;
LAT - 1996;;;
LTU - 1996;3615212.0;8382519637;
MAR - 1996;2.723715E7;43161571528;
MAS - 1996;2.1259831E7;;
MEX - 1996;9.7201533E7;432157945024;
MGL - 1996;2316598.0;;
MKD - 1996;1975207.0;4642021256;
MNE - 1996;;;
MOZ - 1996;1.6463426E7;4030146135;
MRI - 1996;1133996.0;;
NAM - 1996;1705309.0;3989163197;
NED - 1996;;;0.046659412404787805
NGR - 1996;1.1116621E8;;
NIG - 1996;9499605.0;;
NOR - 1996;4381336.0;163520109151;0.026994148897336
NZL - 1996;3762300.0;70140835299;
PAR - 1996;4911701.0;;
PHI - 1996;7.1437381E7;;
POL - 1996;3.8639E7;160193242090;
POR - 1996;1.0063945E7;;0.0444689862175098
PRK - 1996;2.2016518E7;;
QAT - 1996;512476.0;9059340385;
ROU - 1996;2.2619004E7;36937074278;
RSA - 1996;;;
RUS - 1996;;391724890744;
SGP - 1996;3670704.0;96293086513;
SLO - 1996;;;
SRI - 1996;;;
SUD - 1996;;;
