ID_Team,NOC,Year
CHN - 2012,CHN,2012
FIN - 2000,FIN,2000
FIN - 1996,FIN,1996
FIN - 2000,FIN,2000
FIN - 2000,FIN,2000
NOR - 2008,NOR,2008
ROU - 2016,ROU,2016
NOR - 2000,NOR,2000
NOR - 2004,NOR,2004
NED - 1996,NED,1996
NED - 2000,NED,2000
FIN - 1996,FIN,1996
FRA - 2012,FRA,2012
NED - 1996,NED,1996
NED - 1996,NED,1996
NED - 1996,NED,1996
NED - 2000,NED,2000
NED - 2000,NED,2000
NOR - 1996,NOR,1996
MAR - 2012,MAR,2012
EST - 2004,EST,2004
EST - 2008,EST,2008
EST - 1996,EST,1996
ESP - 2016,ESP,2016
ESP - 2016,ESP,2016
ESP - 2016,ESP,2016
ESP - 2016,ESP,2016
ESP - 2016,ESP,2016
ESP - 2016,ESP,2016
EGY - 2000,EGY,2000
ESP - 2016,ESP,2016
ITA - 2016,ITA,2016
ESP - 2008,ESP,2008
AZE - 2016,AZE,2016
RUS - 2008,RUS,2008
RUS - 2012,RUS,2012
ARG - 2000,ARG,2000
ARG - 2000,ARG,2000
ESP - 2008,ESP,2008
CUB - 2000,CUB,2000
BLR - 2004,BLR,2004
BLR - 2008,BLR,2008
FRA - 2008,FRA,2008
FRA - 2012,FRA,2012
FRA - 2016,FRA,2016
ARG - 2012,ARG,2012
GRE - 2004,GRE,2004
CMR - 2000,CMR,2000
TUR - 1996,TUR,1996
ESP - 1996,ESP,1996
GRE - 2004,GRE,2004
MEX - 2000,MEX,2000
USA - 2004,USA,2004
RUS - 2004,RUS,2004
RUS - 2004,RUS,2004
ITA - 2012,ITA,2012
ITA - 2008,ITA,2008
FRA - 2004,FRA,2004
FRA - 2008,FRA,2008
GRE - 2004,GRE,2004
NCA - 2004,NCA,2004
ALG - 2012,ALG,2012
ALG - 2016,ALG,2016
ITA - 1996,ITA,1996
ITA - 2000,ITA,2000
ITA - 1996,ITA,1996
BRN - 2016,BRN,2016
PAK - 1996,PAK,1996
IRQ - 2004,IRQ,2004
EGY - 2000,EGY,2000
IRQ - 2004,IRQ,2004
QAT - 2004,QAT,2004
PAK - 2000,PAK,2000
PAK - 2004,PAK,2004
PAK - 2012,PAK,2012
PAK - 2004,PAK,2004
PAK - 2008,PAK,2008
PAK - 2012,PAK,2012
IRI - 2012,IRI,2012
AZE - 2008,AZE,2008
AZE - 2008,AZE,2008
AZE - 2000,AZE,2000
ITA - 2012,ITA,2012
ITA - 2000,ITA,2000
NED - 2016,NED,2016
ITA - 2000,ITA,2000
IRQ - 2016,IRQ,2016
CAN - 1996,CAN,1996
CAN - 2000,CAN,2000
IRL - 2016,IRL,2016
IRL - 2016,IRL,2016
AUS - 2008,AUS,2008
RSA - 2008,RSA,2008
CAN - 1996,CAN,1996
CAN - 2008,CAN,2008
USA - 2016,USA,2016
CAN - 2000,CAN,2000
USA - 2008,USA,2008
MAR - 2008,MAR,2008
EGY - 2000,EGY,2000
EGY - 2004,EGY,2004
EGY - 2012,EGY,2012
EGY - 2008,EGY,2008
EGY - 2004,EGY,2004
EGY - 2008,EGY,2008
EGY - 2008,EGY,2008
EGY - 2008,EGY,2008
EGY - 2008,EGY,2008
EGY - 2012,EGY,2012
ERI - 2008,ERI,2008
EGY - 2016,EGY,2016
EGY - 1996,EGY,1996
USA - 2004,USA,2004
EGY - 2016,EGY,2016
EGY - 2000,EGY,2000
EGY - 2000,EGY,2000
EGY - 2000,EGY,2000
EGY - 2000,EGY,2000
EGY - 2004,EGY,2004
EGY - 2000,EGY,2000
EGY - 2004,EGY,2004
EGY - 2008,EGY,2008
EGY - 2004,EGY,2004
EGY - 2008,EGY,2008
EGY - 2016,EGY,2016
LBA - 1996,LBA,1996
EGY - 2008,EGY,2008
EGY - 2008,EGY,2008
EGY - 2016,EGY,2016
EGY - 2016,EGY,2016
EGY - 2004,EGY,2004
EGY - 2000,EGY,2000
EGY - 2000,EGY,2000
EGY - 2000,EGY,2000
EGY - 1996,EGY,1996
EGY - 2004,EGY,2004
EGY - 2008,EGY,2008
EGY - 2016,EGY,2016
EGY - 2016,EGY,2016
EGY - 2016,EGY,2016
EGY - 2016,EGY,2016
EGY - 2008,EGY,2008
EGY - 2012,EGY,2012
EGY - 2016,EGY,2016
EGY - 2008,EGY,2008
SUD - 2008,SUD,2008
EGY - 2012,EGY,2012
EGY - 2016,EGY,2016
EGY - 2004,EGY,2004
EGY - 2008,EGY,2008
ALG - 2016,ALG,2016
EGY - 2016,EGY,2016
EGY - 2012,EGY,2012
EGY - 2016,EGY,2016
EGY - 2012,EGY,2012
EGY - 2000,EGY,2000
EGY - 2000,EGY,2000
EGY - 2000,EGY,2000
EGY - 2000,EGY,2000
EGY - 2000,EGY,2000
EGY - 2008,EGY,2008
EGY - 2016,EGY,2016
ALG - 2008,ALG,2008
ALG - 2012,ALG,2012
IRI - 2012,IRI,2012
IRI - 2016,IRI,2016
BEL - 2016,BEL,2016
BEL - 2016,BEL,2016
AUS - 2008,AUS,2008
AUS - 2012,AUS,2012
QAT - 1996,QAT,1996
USA - 2000,USA,2000
USA - 2004,USA,2004
USA - 2008,USA,2008
USA - 2012,USA,2012
AUS - 2000,AUS,2000
AUS - 2004,AUS,2004
AUS - 2008,AUS,2008
PLE - 2008,PLE,2008
CMR - 2012,CMR,2012
COM - 1996,COM,1996
CAN - 2000,CAN,2000
EGY - 2004,EGY,2004
CHA - 1996,CHA,1996
CMR - 2016,CMR,2016
KAZ - 2016,KAZ,2016
BRU - 2016,BRU,2016
KUW - 2000,KUW,2000
MAS - 1996,MAS,1996
MAS - 2000,MAS,2000
EGY - 2000,EGY,2000
EGY - 2000,EGY,2000
EGY - 2008,EGY,2008
BRU - 1996,BRU,1996
BRU - 2000,BRU,2000
SUD - 2000,SUD,2000
BRN - 2000,BRN,2000
IRQ - 2008,IRQ,2008
IRQ - 2012,IRQ,2012
UAE - 1996,UAE,1996
INA - 2004,INA,2004
IRQ - 2004,IRQ,2004
IRQ - 2004,IRQ,2004
CAN - 2008,CAN,2008
EGY - 2012,EGY,2012
IRQ - 2012,IRQ,2012
QAT - 2008,QAT,2008
USA - 2004,USA,2004
MAS - 1996,MAS,1996
MAS - 1996,MAS,1996
MAS - 1996,MAS,1996
MAS - 2000,MAS,2000
SGP - 1996,SGP,1996
AZE - 2016,AZE,2016
AZE - 1996,AZE,1996
AZE - 2000,AZE,2000
UZB - 1996,UZB,1996
UZB - 2000,UZB,2000
UZB - 2012,UZB,2012
UZB - 2016,UZB,2016
AZE - 1996,AZE,1996
AZE - 2000,AZE,2000
