ID_Team,Gold_count,Bronze_count,Silver_count,Total
AFG - 1996,0,0,0,0
AFG - 2008,0,1,0,1
AHO - 2004,0,0,0,0
ALB - 1996,0,0,0,0
ALB - 2008,0,0,0,0
ALB - 2012,0,0,0,0
ALB - 2016,0,0,0,0
ALG - 1996,2,1,0,3
ALG - 2000,1,3,1,5
ALG - 2004,0,0,0,0
ALG - 2008,0,1,1,2
ALG - 2012,1,0,0,1
ALG - 2016,0,0,1,1
AND - 1996,0,0,0,0
AND - 2000,0,0,0,0
AND - 2016,0,0,0,0
ANG - 1996,0,0,0,0
ANG - 2000,0,0,0,0
ANG - 2004,0,0,0,0
ANG - 2008,0,0,0,0
ANG - 2012,0,0,0,0
ANT - 1996,0,0,0,0
ANT - 2004,0,0,0,0
ARG - 1996,0,1,19,20
ARG - 2000,0,3,16,19
ARG - 2004,27,19,0,46
ARG - 2008,17,19,0,36
ARG - 2012,1,2,13,16
ARG - 2016,19,0,1,20
ARM - 1996,1,0,1,2
ARM - 2000,0,1,0,1
ARM - 2004,0,0,0,0
ARM - 2008,0,6,0,6
ARM - 2012,0,2,1,3
ARM - 2016,1,0,3,4
ARU - 1996,0,0,0,0
ARU - 2000,0,0,0,0
ARU - 2016,0,0,0,0
AUS - 1996,32,70,16,118
AUS - 2000,43,33,62,138
AUS - 2004,42,27,68,137
AUS - 2008,25,68,34,127
AUS - 2012,14,48,30,92
AUS - 2016,20,22,27,69
AUT - 1996,0,2,1,3
AUT - 2000,3,0,1,4
AUT - 2004,1,1,3,5
AUT - 2008,0,2,1,3
AUT - 2012,0,0,0,0
AUT - 2016,0,2,0,2
AZE - 1996,0,0,1,1
AZE - 2000,2,1,0,3
AZE - 2004,1,4,0,5
AZE - 2008,1,4,2,7
AZE - 2012,2,5,1,8
AZE - 2016,0,8,5,13
BAH - 1996,0,0,5,5
BAH - 2000,5,5,0,10
BAH - 2004,1,1,0,2
BAH - 2008,0,1,6,7
BAH - 2012,4,0,0,4
BAH - 2016,1,5,0,6
BAN - 2000,0,0,0,0
BAN - 2004,0,0,0,0
BAR - 1996,0,0,0,0
BAR - 2000,0,1,0,1
BAR - 2004,0,0,0,0
BAR - 2016,0,0,0,0
BDI - 1996,1,0,0,1
BDI - 2000,0,0,0,0
BDI - 2004,0,0,0,0
BDI - 2016,0,0,1,1
BEL - 1996,2,2,2,6
BEL - 2000,0,4,3,7
BEL - 2004,1,2,0,3
BEL - 2008,1,0,4,5
BEL - 2012,0,2,1,3
BEL - 2016,2,2,17,21
BEN - 1996,0,0,0,0
BEN - 2004,0,0,0,0
BEN - 2012,0,0,0,0
BER - 1996,0,0,0,0
BER - 2004,0,0,0,0
BHU - 2004,0,0,0,0
BIH - 1996,0,0,0,0
BIH - 2000,0,0,0,0
BIH - 2004,0,0,0,0
BIH - 2016,0,0,0,0
BIZ - 2000,0,0,0,0
BIZ - 2008,0,0,0,0
BIZ - 2016,0,0,0,0
BLR - 1996,1,14,5,20
BLR - 2000,2,10,7,19
BLR - 2004,2,8,5,15
BLR - 2008,8,14,3,25
BLR - 2012,3,8,11,22
BLR - 2016,1,6,4,11
BOL - 2008,0,0,0,0
BOL - 2016,0,0,0,0
BOT - 1996,0,0,0,0
BOT - 2000,0,0,0,0
BOT - 2004,0,0,0,0
BOT - 2008,0,0,0,0
BOT - 2012,0,0,1,1
BOT - 2016,0,0,0,0
BRA - 1996,4,43,14,61
